EngNames	Lat	Lon	Language	Group	Family	color	label
Kversatl'	42.302562	46.392793	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Keger	42.3767	47.0275	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kedi	42.52611	45.96639	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kerlikent	44.02694	46.74889	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kizhani	42.74031	46.364775	Avar	Avar	Nakh-Daghestanian	yellow	Kizhani
Kizilyurt	43.20182	46.87756	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kizlyar	43.84465	46.718689	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kikuni	42.513979	47.036122	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kilyatl'	42.704637	46.466046	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kirovaul	43.2361	46.8469	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kishdatl'	42.304638	46.342239	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kienikh	42.43056	46.66639	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kokrek	43.23639	46.72665	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kollektivizator	43.95942	47.39102	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kolo	42.65769	46.56607	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kommuna	42.3656	46.9686	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Komsomol'skiy	43.97833	46.69852	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Komsomol'skoe	43.1956	46.8964	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Koroda	42.44961	46.846988	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kosob	42.242893	46.368239	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kosroda	42.13141	46.85829	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kochubey	44.39179	46.54615	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kraynovka	43.9772	47.3719	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Krasnoe (Selo)	44.100232	46.877563	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Krasnooktyabr'skoe	43.84705	46.65553	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Krasnyy Voskhod	43.86232	46.67508	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kuanib	42.509735	46.611385	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kudali	42.3678	47.0789	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kudutl'	42.5783	47.0194	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kuznetsovskoe	43.90277	46.63276	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kuker	42.43106	46.80982	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kuletsma	42.5556	47.2339	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kulla	42.31346	46.91014	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kul'zeb	43.1686	47.0108	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kunzakh	42.74884	46.66488	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kurmi	42.46639	47.04222	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kusur	41.781293	46.949207	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kutikh	42.12587	46.78902	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kutisha	42.4236	47.2831	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kutlab	42.09663	46.32982	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kuchrab	42.17506	46.90244	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kyakhulay	42.96839	47.48301	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Lakhchayda	42.41345	46.8378	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Maali	42.4858	46.9197	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Magar	42.19546	46.843669	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Magitl'	42.248081	46.366738	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mazada	42.197896	46.390092	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Maydanskoe	42.601674	46.958927	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Malaya Areshevka	44.0208	46.8231	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Malaya Zadoevka	43.86766	46.85721	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Maloe Kozyrevskoe	43.90025	46.81582	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Malyy Urala	42.42216	46.80506	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Manasaul	42.7575	47.0397	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Matlas	42.595249	46.605532	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Machada	42.37839	46.53725	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Machar	42.206556	46.335204	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mesterukh	42.5747	46.3964	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Metrada	42.393034	45.888954	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mekhel'ta	42.798277	46.497361	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Miatli	43.08173	46.8286	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mikdatl'	42.309412	46.380732	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mitliurib	42.43537	46.68836	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mogilyovskoe	43.26106	46.62714	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mogrob	42.15672	46.86521	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mokoda	42.42385	46.66963	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Moksob	43.434004	46.48603	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Moksokh	42.6538	46.80572	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mochokh	42.63159	46.61242	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Moschob	42.21389	46.79167	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mugdab	42.420445	46.807523	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mugurukh	42.26064	46.86533	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mukutl'	42.19562	46.861381	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mulla-Ali	43.86792	46.88344	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Murada	42.445422	46.954469	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Murukh	42.27719	46.7715	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Musrukh	42.32897	46.51614	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Mutsalaul	43.2719	46.7311	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Muschuli	42.633706	46.498593	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nadar	42.09736	46.36025	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nakazukh	42.264594	46.914238	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Narysh	43.52692	46.69469	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nachada	42.198508	46.448902	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhnee Inkho	42.704518	46.507752	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhnie Khvarshini	42.4108	45.8697	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhnie Chugli	42.46318	47.29733	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Aradirikh	42.68979	46.568219	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Batlukh	42.4853	46.5239	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Karanay	42.84729	46.940488	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Kolob	42.430087	46.659303	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Togokh	42.43381	46.70246	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nizhniy Chiryurt	43.17299	46.86328	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nikar	42.0737	46.406903	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Niklida	42.199941	46.406485	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nitab	42.51925	46.63256	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nitilsukh	42.04732	46.42938	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
